lat,lon,neutron_count
-88,142,155.10786
-88,143,145.73598
-88,144,150.6751
-88,145,152.87387
-88,146,148.40997
-88,147,142.9707
-88,148,148.7207
-88,149,152.88702
-88,150,146.36383
-88,151,149.3155
-88,152,147.0666
-88,153,148.09143
-88,154,148.02911
-88,155,149.69102
-88,156,150.15381
-88,157,152.12025
-88,158,154.14775
-88,159,153.11049
-88,160,149.67403
-88,161,153.66472
-88,162,156.71587
-88,163,152.62886
-88,164,148.30933
-88,165,154.58691
-88,166,149.70834
-88,167,157.71199
-88,168,155.32812
-88,169,158.34798
-88,170,149.97302
-88,171,150.25993
-88,172,158.94467
-88,173,156.24577
-88,174,149.43251
-88,175,154.60522
-88,176,148.82234
-88,177,148.43567
-88,178,154.36374
-88,179,154.01341
-88,180,148.07869
-87,-180,154.8648
-87,-179,153.19562
-87,-178,153.93222
-87,-177,154.53894
-87,-176,154.61148
-87,-175,154.24084
-87,-174,154.51712
-87,-173,156.3662
-87,-172,153.92517
-87,-171,157.79626
-87,-170,152.89464
-87,-169,148.42587
-87,-168,158.59163
-87,-167,154.06786
-87,-166,157.01816
-87,-165,154.01108
-87,-164,155.68004
-87,-163,155.19557
-87,-162,153.9875
-87,-161,149.69855
-87,-160,148.49435
-87,-159,156.39307
-87,-158,153.78261
-87,-157,149.99078
-87,-156,153.38933
-87,-155,154.74721
-87,-154,143.64447
-87,-153,154.68767
-87,-152,149.54044
-87,-151,153.27019
-87,-150,152.88939
-87,-149,153.71492
-87,-148,147.03316
-87,-147,157.22517
-87,-146,159.56871
-87,-145,154.35776
-87,-144,154.66492
-87,-143,150.70903
-87,-142,156.59529
-87,-141,153.3644
-87,-140,152.63351
-87,-139,152.9637
-87,-138,151.13278
-87,-137,153.92104
-87,-136,155.61063
-87,-135,148.96844
-87,-134,154.47699
-87,-133,155.28427
-87,-132,152.15985
-87,-131,149.5828
-87,-130,156.21446
-87,-129,157.07373
-87,-128,158.51439
-87,-127,152.18611
-87,-126,160.08586
-87,-125,157.26572
-87,-124,157.0714
-87,-123,155.99055
-87,-122,155.17969
-87,-121,156.68524
-87,-120,154.57657
-87,-119,154.807
-87,-118,153.13509
-87,-117,155.37166
-87,-116,154.07806
-87,-115,151.94206
-87,-114,155.32666
-87,-113,153.2967
-87,-112,155.70776
-87,-111,157.03844
-87,-110,151.61258
-87,-109,151.72095
-87,-108,154.54788
-87,-107,153.42334
-87,-106,147.44243
-87,-105,151.68422
-87,-104,152.57735
-87,-103,155.0728
-87,-102,150.4352
-87,-101,154.56436
-87,-100,151.1047
-87,-99,155.10773
-87,-98,152.93791
-87,-97,149.1988
-87,-96,155.69444
-87,-95,153.31848
-87,-94,157.19537
-87,-93,156.15762
-87,-92,152.18713
-87,-91,147.79816
-87,-90,156.81895
-87,-89,154.1014
-87,-88,156.22385
-87,-87,156.7457
-87,-86,149.58324
-87,-85,150.59398
-87,-84,158.09552
-87,-83,154.01073
-87,-82,156.77884
-87,-81,151.07147
-87,-80,152.44789
-87,-79,154.88817
-87,-78,155.64081
-87,-77,152.54085
-87,-76,151.12495
-87,-75,150.74167
-87,-74,153.99272
-87,-73,154.51517
-87,-72,153.57455
